time_interval,locationID,common_name,species_count,wind_speed_kmh,temp,tomst_num,snow_prob
2024-06-23T22:30:00Z,ARUQ19,Sandhill Crane,13,16,13.75,15,0
2024-06-23T22:30:00Z,ARUQ19,Red-throated Loon,6,16,13.75,15,0
2024-06-23T22:30:00Z,ARUQ19,Canada Goose,1,16,13.75,15,0
2024-06-23T22:30:00Z,ARUQ19,Greater White-fronted Goose,3,16,13.75,15,0
2024-06-23T23:00:00Z,ARUQ19,Red-throated Loon,1,8,13,15,0
2024-06-23T23:00:00Z,ARUQ19,Lapland Longspur,4,8,13,15,0
2024-06-23T23:30:00Z,ARUQ19,Sandhill Crane,5,7,14.75,15,0
2024-06-23T23:30:00Z,ARUQ19,Greater White-fronted Goose,9,7,14.75,15,0
2024-06-24T00:00:00Z,ARUQ19,Rock Ptarmigan,1,6,14.5,15,0
2024-06-24T00:00:00Z,ARUQ19,Sandhill Crane,5,6,14.5,15,0
2024-06-24T00:00:00Z,ARUQ19,Short-eared Owl,1,6,14.5,15,0
2024-06-24T00:00:00Z,ARUQ19,Greater White-fronted Goose,1,6,14.5,15,0
2024-06-24T00:00:00Z,ARUQ19,Red-throated Loon,1,6,14.5,15,0
2024-06-24T01:00:00Z,ARUQ19,Greater White-fronted Goose,8,22,12.38,15,0
2024-06-24T01:30:00Z,ARUQ19,Sandhill Crane,29,20.5,11,15,0
2024-06-24T02:00:00Z,ARUQ19,Greater White-fronted Goose,14,19,12.88,15,0
2024-06-24T02:00:00Z,ARUQ19,Rock Ptarmigan,1,19,12.88,15,0
2024-06-24T02:30:00Z,ARUQ19,Greater White-fronted Goose,3,16.5,10,15,0
2024-06-24T03:00:00Z,ARUQ19,Sandhill Crane,18,14,8.38,15,0
2024-06-24T03:00:00Z,ARUQ19,Greater White-fronted Goose,8,14,8.38,15,0
2024-06-24T03:00:00Z,ARUQ19,Rock Ptarmigan,4,14,8.38,15,0
2024-06-24T04:00:00Z,ARUQ19,Sandhill Crane,5,13,10.56,15,0
2024-06-24T04:00:00Z,ARUQ19,Tundra Swan,1,13,10.56,15,0
2024-06-24T04:30:00Z,ARUQ19,Greater White-fronted Goose,19,9,10.06,15,0
2024-06-24T04:30:00Z,ARUQ19,Northern Fulmar,1,9,10.06,15,0
2024-06-24T05:00:00Z,ARUQ19,Savannah Sparrow,6,5,6.75,15,0
2024-06-24T05:30:00Z,ARUQ19,Snow Bunting,1,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Tundra Swan,1,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Snow Goose,3,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Cackling Goose,5,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Lapland Longspur,14,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Canada Goose,1,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Savannah Sparrow,2,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Semipalmated Plover,1,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Smith's Longspur,1,5,4.06,15,0
2024-06-24T05:30:00Z,ARUQ19,Greater White-fronted Goose,4,5,4.06,15,0
2024-06-24T06:00:00Z,ARUQ19,Common Redpoll,5,5,3.44,15,0
2024-06-24T06:00:00Z,ARUQ19,American Golden-Plover,5,5,3.44,15,0
2024-06-24T06:30:00Z,ARUQ19,Green-winged Teal,1,2.5,3.25,15,0
2024-06-24T06:30:00Z,ARUQ19,Lapland Longspur,2,2.5,3.25,15,0
2024-06-24T06:30:00Z,ARUQ19,Red-throated Loon,4,2.5,3.25,15,0
2024-06-24T06:30:00Z,ARUQ19,Greater White-fronted Goose,5,2.5,3.25,15,0
2024-06-24T06:30:00Z,ARUQ19,Sandhill Crane,2,2.5,3.25,15,0
2024-06-24T07:00:00Z,ARUQ19,Savannah Sparrow,4,0,4.1899999999999995,15,0
2024-06-24T07:00:00Z,ARUQ19,Tundra Swan,2,0,4.1899999999999995,15,0
2024-06-24T07:00:00Z,ARUQ19,Sandhill Crane,6,0,4.1899999999999995,15,0
2024-06-24T07:00:00Z,ARUQ19,Greater White-fronted Goose,13,0,4.1899999999999995,15,0
2024-06-24T07:00:00Z,ARUQ19,Lapland Longspur,1,0,4.1899999999999995,15,0
2024-06-24T07:30:00Z,ARUQ19,Lapland Longspur,16,4,3.5,15,0
2024-06-24T07:30:00Z,ARUQ19,Red-throated Loon,3,4,3.5,15,0
2024-06-24T07:30:00Z,ARUQ19,Sora,7,4,3.5,15,0
2024-06-24T07:30:00Z,ARUQ19,Wilson's Snipe,1,4,3.5,15,0
