"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 00:00","2024","06","01","00:00","","M","","M","","M","","M","13","","9","","","","101.74","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 01:00","2024","06","01","01:00","","M","","M","","M","","M","14","","8","","","","101.67","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 02:00","2024","06","01","02:00","","M","","M","","M","","M","16","","10","","","","101.63","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 03:00","2024","06","01","03:00","","M","","M","","M","","M","13","","11","","","","101.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 04:00","2024","06","01","04:00","","M","","M","","M","","M","13","","13","","","","101.53","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 05:00","2024","06","01","05:00","","M","","M","","M","","M","14","","16","","","","101.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 06:00","2024","06","01","06:00","","M","","M","","M","","M","14","","17","","","","101.48","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 07:00","2024","06","01","07:00","","M","","M","","M","","M","16","","15","","","","101.43","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 08:00","2024","06","01","08:00","","M","","M","","M","","M","16","","12","","","","101.39","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 09:00","2024","06","01","09:00","","M","","M","","M","","M","15","","15","","","","101.32","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 10:00","2024","06","01","10:00","","M","","M","","M","","M","13","","15","","","","101.27","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 11:00","2024","06","01","11:00","","M","","M","","M","","M","15","","19","","","","101.22","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 12:00","2024","06","01","12:00","","M","","M","","M","","M","15","","16","","","","101.18","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 13:00","2024","06","01","13:00","","M","","M","","M","","M","15","","17","","","","101.15","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 14:00","2024","06","01","14:00","","M","","M","","M","","M","15","","18","","","","101.09","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 15:00","2024","06","01","15:00","","M","","M","","M","","M","14","","17","","","","101.05","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 16:00","2024","06","01","16:00","","M","","M","","M","","M","13","","22","","","","100.99","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 17:00","2024","06","01","17:00","","M","","M","","M","","M","13","","26","","","","100.96","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 18:00","2024","06","01","18:00","","M","","M","","M","","M","15","","27","","","","100.92","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 19:00","2024","06","01","19:00","","M","","M","","M","","M","15","","27","","","","100.89","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 20:00","2024","06","01","20:00","","M","","M","","M","","M","15","","27","","","","100.82","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 21:00","2024","06","01","21:00","","M","","M","","M","","M","14","","24","","","","100.78","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 22:00","2024","06","01","22:00","","M","","M","","M","","M","14","","28","","","","100.72","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-01 23:00","2024","06","01","23:00","","M","","M","","M","","M","14","","27","","","","100.67","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-06-02 00:00","2024","06","02","00:00","","M","","M","","M","","M","14","","20","","","","100.63","","","","","","NA"
