ID1,ID2,lat,lon,elev,Tave_sp,Tmin_sp,Tmax_sp,Tave_sm,Tmin_sm,Tmax_sm,Tave04,Tave05,Tave06,Tave07,Tave08
1,1,69.5723,-138.9064,2,-12.9,-16.7,-9.2,6,2.5,9.6,-14.9636229155874,-2.34741619714139,3.89591424443864,7.92899375856033,6.30581665152799
2,2,1,1,1,,,,,,,,,,,
