ID1,ID2,lat,lon,elev,Tave_sp,Tmin_sp,Tmax_sp,Tave_sm,Tmin_sm,Tmax_sm,Tave04,Tave05,Tave06,Tave07,Tave08
1,1,69.5723,-138.9064,2,-16.1,-19.6,-12.7,5.9,1.7,10.2,-15.8580975475874,-4.72746391714139,4.40041115643864,7.44338758256033,5.95141201952799
2,2,1,1,1,,,,,,,,,,,
