ID1,ID2,lat,lon,elev,Tave_sp,Tmin_sp,Tmax_sp,Tave_sm,Tmin_sm,Tmax_sm,Tave04,Tave05,Tave06,Tave07,Tave08
1,1,69.5723,-138.9064,2,-16.6,-20.5,-12.6,4.8,0.8,8.7,-21.7036006355874,-4.37077774114139,3.56037424443864,5.03458530256033,5.66471819552799
2,2,1,1,1,,,,,,,,,,,
