ID1,ID2,lat,lon,elev,Tave_sp,Tmin_sp,Tmax_sp,Tave_sm,Tmin_sm,Tmax_sm,Tave04,Tave05,Tave06,Tave07,Tave08
1,1,69.5723,-138.9064,2,-14.5,-18.6,-10.4,6.9,3.1,10.7,-15.7669990915874,-3.76628082914139,4.99372498043864,9.38892375856033,6.31031356352799
2,2,1,1,1,,,,,,,,,,,
